Index,x_coordinate(m),y_coordinate(m)
1,21534,32313
2,21534,32313
3,21534,32313
4,21534,32313
5,21534,32313
6,21534,32313
7,21534,32313
8,21534,32313
9,21534,32313
10,21534,32313
11,21534,32313
12,21534,32313
13,21534,32313
14,21534,32313
15,21534,32313
16,21534,32313
17,21534,32313
18,21534,32313
19,21534,32313
20,21534,32313
21,21534,32313
22,21534,32313
23,21534,32313
24,21534,32313
25,21534,32313
26,21534,32313
27,21534,32313
28,21534,32313
29,21534,32313
30,21534,32313
31,21702,32607
32,21702,32607
33,21702,32607
34,21702,32607
35,21702,32607
36,21702,32607
37,21702,32607
38,21702,32607
39,21702,32607
40,21702,32607
41,21702,32607
42,21702,32607
43,21702,32607
44,21702,32607
45,21702,32607
46,21702,32607
47,21702,32607
48,21702,32607
49,21702,32607
50,21702,32607
51,21702,32607
52,21804,32683
53,21804,32683
54,21804,32683
55,21804,32683
56,21804,32683
57,21804,32683
58,21804,32683
59,21804,32683
60,21804,32683
61,21804,32683
62,21728,32711
63,21728,32711
64,21728,32711
65,21804,32683
66,21728,32711
67,21728,32711
68,21728,32711
69,21728,32711
70,21804,32683
71,21804,32683
72,21804,32683
73,21804,32683
74,21844,32793
75,21728,32711
76,21728,32711
77,21728,32711
78,21728,32711
79,21844,32793
80,21728,32711
81,21728,32711
82,21728,32711
83,21728,32711
84,21728,32711
85,21728,32711
86,21728,32711
87,21728,32711
88,21728,32711
89,21728,32711
90,21728,32711
91,21728,32711
92,21728,32711
93,21728,32711
94,21728,32711
95,21728,32711
96,21728,32711
97,21728,32711
98,21779,32818
99,21779,32818
100,21779,32818
101,21779,32818
102,21779,32818
103,21779,32818
104,21779,32818
105,21779,32818
106,21779,32818
107,21844,32793
108,21844,32793
109,21844,32793
110,21844,32793
111,21844,32793
112,21844,32793
113,21844,32793
114,21844,32793
115,21844,32793
116,21844,32793
117,21844,32793
118,21844,32793
119,21844,32793
120,21844,32793
121,21844,32793
122,21804,32683
123,21804,32683
124,21804,32683
125,21804,32683
126,21804,32683
127,21804,32683
128,21804,32683
129,21804,32683
130,21804,32683
131,21804,32683
132,21804,32683
133,21804,32683
134,21804,32683
135,21804,32683
136,21804,32683
137,21804,32683
138,21804,32683
139,21804,32683
140,21804,32683
141,21804,32683
142,21728,32711
143,21728,32711
144,21728,32711
145,21728,32711
146,21728,32711
147,21728,32711
148,21748,32768
149,21748,32768
150,21728,32711
151,21728,32711
152,21728,32711
153,21728,32711
154,21728,32711
155,21728,32711
156,21728,32711
157,21728,32711
158,21728,32711
159,21728,32711
160,21728,32711
161,21748,32768
162,21728,32711
163,21728,32711
164,21779,32818
165,21779,32818
166,21779,32818
167,21779,32818
168,21844,32793
169,21844,32793
170,21844,32793
171,21804,32683
172,21804,32683
173,21804,32683
174,21804,32683
175,21804,32683
176,21804,32683
177,21804,32683
178,21804,32683
179,21836,32737
180,21804,32683
181,21804,32683
182,21804,32683
183,21804,32683
184,21804,32683
185,21836,32737
186,21804,32683
187,21804,32683
188,21804,32683
189,21804,32683
190,21613,32759
191,21613,32759
192,21613,32759
193,21613,32759
194,21613,32759
195,21613,32759
196,21613,32759
197,21613,32759
198,21613,32759
199,21613,32759
200,21613,32759
201,21613,32759
202,21613,32759
203,21613,32759
204,21613,32759
205,21613,32759
206,21613,32759
207,21613,32759
208,21613,32759
209,21613,32759
210,21613,32759
211,21613,32759
212,21613,32759
213,21613,32759
214,21613,32759
215,21613,32759
216,21613,32759
217,21613,32759
218,21613,32759
219,21613,32759
220,21613,32759
221,21613,32759
222,21613,32759
223,21613,32759
224,21620,32840
225,21742,32802
226,21742,32802
227,21742,32802
228,21742,32802
229,21742,32802
230,21742,32802
231,21742,32802
232,21742,32802
233,21742,32802
234,21742,32802
235,21742,32802
236,21742,32802
237,21742,32802
238,21742,32802
239,21742,32802
240,21742,32802
241,21742,32802
242,21742,32802
243,21742,32802
244,21742,32802
245,21742,32802
246,21742,32802
247,21742,32802
248,21742,32802
249,21742,32802
250,21742,32802
251,21742,32802
252,21742,32802
253,21742,32802
254,21742,32802
255,21742,32802
256,21742,32802
257,21742,32802
258,21742,32802
259,21742,32802
260,21742,32802
261,21742,32802
262,21742,32802
263,21742,32802
264,21504,32831
265,21824,32886
266,21824,32886
267,21824,32886
268,21824,32886
269,21824,32886
270,21824,32886
271,21804,32861
272,21804,32861
273,21804,32861
274,21804,32861
275,21804,32861
276,21804,32861
277,21804,32861
278,21804,32861
279,21804,32861
280,21804,32861
281,21804,32861
282,21804,32861
283,21804,32861
284,21804,32861
285,21804,32861
286,21804,32861
287,21804,32861
288,21804,32861
289,21851,32856
290,21851,32856
291,21851,32856
292,21851,32856
293,21851,32856
294,21851,32856
295,21851,32856
296,21851,32856
297,21851,32856
298,21851,32856
299,21851,32856
300,21851,32856
301,21851,32856
302,21851,32856
303,21851,32856
304,21851,32856
305,21851,32856
306,21851,32856
307,21736,32907
308,21736,32907
309,21736,32907
310,21736,32907
311,21736,32907
312,21736,32907
313,21736,32907
314,21736,32907
315,21663,33167
316,21663,33167
317,21663,33167
318,21663,33167
319,21663,33167
320,21663,33167
321,21663,33167
322,21663,33167
323,21663,33167
324,21663,33167
325,21663,33167
326,21663,33167
327,21663,33167
328,21663,33167
329,21663,33167
330,21663,33167
331,21663,33167
332,21663,33167
333,21663,33167
334,21663,33167
335,21663,33167
336,21663,33167
337,21663,33167
338,21663,33167
339,21663,33167
340,21663,33167
341,21663,33167
342,21663,33167
343,21663,33167
344,21663,33167
345,21663,33167
346,21663,33167
