#0:
>0:19083.63,33319.38;23442.01,33080.56;20769.89,33019.54;
#1:
>0:18848.1,32565.99;18841.2,32397.88;
#2:
>0:25097.31,33114.67;20155.72,31022.09;24565.03,30793.18;
#3:
>0:19114.52,33067.1;21606.07,31227.56;
#4:
>0:21222.02,32218.66;21954.84,34106.49;
#5:
>0:22405.3,34170.09;20042.21,34109.25;
#6:
>0:24835.46,31973.58;18272.88,31595.97;22262.98,33112.95;
#7:
>0:19370.15,32247.84;20149.6,31216.43;
#8:
>0:23070.54,31479.84;22259.84,33156.76;
#9:
>0:24294.58,32454.55;22643.02,32254.92;
#10:
>0:20798.46,31188.6;21462.88,31366.77;
#11:
>0:23814.92,32573.5;19633.4,30213.45;24474.26,30282.15;
#12:
>0:25038.13,34349.89;18214.32,27169.4;18857.53,31313.63;
#13:
>0:20242.43,30946.65;19171.18,31811.41;
#14:
>0:23978.01,32154.17;23754.25,33337.55;
#15:
>0:19967.99,34142.03;20764.42,31646.85;
#16:
>0:18415.26,32225.44;20530.68,32891.31;
#17:
>0:23713.77,31269.18;18831.28,25765.36;19227.24,31362.43;
#18:
>0:19392.58,31227.18;20273.72,33567.8;
#19:
>0:19670.06,34023.7;21887.51,32141.13;20672.44,30608.54;25213.18,31017.81;18928.33,31596.98;24171.01,32478.13;
#20:
>0:22765.13,31801.74;22602.89,31429.56;
#21:
>0:21699.9,34526.88;22984.8,34543.38;
#22:
>0:20851.47,33337.88;20515.06,34023.53;
#23:
>0:20870.41,32133.81;24104.07,34483.31;20168.52,34087.65;
#24:
>0:23694.72,31775.73;24588.25,31284.49;
#25:
>0:22869.92,32093.88;20573.38,31281.83;
#26:
>0:24717.2,34319.67;24573.44,30636.97;
#27:
>0:24675.94,30781.38;21913.64,32366.36;
#28:
>0:20789.76,30700.98;25102.44,28293.69;24952.68,32333.4;
#29:
>0:23352.98,31967.13;21096.18,33886.15;22407.8,32624.85;
#30:
>0:18198.35,30832.41;22945.96,32080.46;
#31:
>0:19655.85,34315.79;24192.48,32810.43;20986.26,30360.85;
#32:
>0:22858.35,34184.44;20651.26,27750.69;19320.2,30680.0;24831.84,30338.31;
#33:
>0:20643.63,32075.48;21244.0,31793.99;
#34:
>0:18455.93,30719.4;24222.15,27311.14;23623.6,31170.8;
#35:
>0:22974.32,31890.06;18425.44,33518.82;22114.55,28914.9;23811.32,30525.86;
#36:
>0:20225.46,33768.43;19794.73,31397.74;
#37:
>0:21475.0,33135.24;19467.12,33415.18;
#38:
>0:20772.87,31935.51;19643.94,31815.01;
#39:
>0:14843.53,35891.06;20981.96,32516.46;22504.72,30769.06;
#40:
>0:25107.94,32837.21;18172.24,32283.22;23986.87,33151.05;
#41:
>0:24346.15,31473.41;18994.63,31534.65;25010.41,32064.26;19207.89,32558.52;23985.19,32556.32;
#42:
>0:18520.91,31810.22;23369.8,32108.66;
#43:
>0:18758.05,31642.94;22122.27,34295.46;
#44:
>0:23144.96,32569.02;20382.2,30300.73;21780.0,26184.46;22628.98,33474.25;
#45:
>0:19072.5,33338.7;23694.06,34467.31;
#46:
>0:25053.74,34239.04;22939.74,30940.06;
#47:
>0:22339.42,31905.2;20591.13,32250.17;25049.17,30568.9;
#48:
>0:24728.73,32005.34;22328.41,32065.81;
#49:
>0:24349.39,33844.15;25129.38,32527.39;
#50:
>0:23742.47,31061.98;21357.06,30983.06;
#51:
>0:23285.19,31727.69;22069.0,31868.91;
#52:
>0:22332.34,32956.82;23308.68,32861.63;
#53:
>0:20290.55,31350.01;19812.29,34468.23;
#54:
>0:13760.78,36836.43;16288.35,34887.58;11988.99,35014.66;17229.32,35214.03;
#55:
>0:21867.49,30933.28;19367.28,34629.99;
#56:
>0:21614.16,30506.21;21207.86,31168.85;
#57:
>0:20076.5,33615.26;24240.09,33032.83;21011.76,33726.79;
#58:
>0:23955.48,34335.61;18429.66,30454.41;22362.97,32329.62;
#59:
>0:25163.48,32479.61;23375.73,32011.44;
#60:
>0:21207.06,31580.42;21085.12,30959.98;
#61:
>0:23518.35,31957.18;23739.2,31321.42;
#62:
>0:20772.12,32185.99;23758.0,33318.73;18428.81,34097.01;
#63:
>0:23386.65,33513.63;21029.61,30737.7;25015.94,34190.91;
#64:
>0:18226.98,34255.32;23969.04,32788.44;
#65:
>0:25199.0,31815.53;18355.42,28232.25;19325.42,33485.0;
#66:
>0:23295.86,30247.37;22205.44,31840.42;
#67:
>0:19517.66,30340.55;19204.72,32150.74;
#68:
>0:23438.74,32213.39;21198.8,26802.37;20679.12,30981.32;
#69:
>0:20429.79,34649.28;18300.41,30357.86;
#70:
>0:22384.97,33466.53;19055.76,33442.97;
#71:
>0:23650.98,32093.02;23687.87,31343.33;
#72:
>0:24632.02,30452.13;21441.12,31293.68;21990.72,33842.84;
#73:
>0:19687.17,33937.54;24143.67,31019.84;
#74:
>0:19089.74,31633.63;20272.7,33854.59;
#75:
>0:24767.88,33737.5;20155.51,34344.59;
#76:
>0:23042.37,33054.0;22748.53,30557.77;
#77:
>0:21308.52,34353.76;24487.34,26323.47;24432.25,31499.12;
#78:
>0:21343.83,31056.08;18308.69,34602.27;
#79:
>0:25097.14,32120.15;20805.32,31635.62;
#80:
>0:23625.42,34199.2;20245.48,32618.68;
#81:
>0:20716.91,30985.45;19590.02,33429.12;
#82:
>0:21224.06,30711.97;20946.74,33338.93;
#83:
>0:24441.4,30601.1;20481.47,33916.29;
#84:
>0:20014.64,31292.07;20173.03,32559.56;
#85:
>0:18523.4,34610.65;20715.51,32911.0;
#86:
>0:23302.28,34299.4;22344.49,33817.26;
#87:
>0:22581.41,34308.0;22763.39,32078.47;
#88:
>0:22955.04,31888.96;24525.67,31684.49;
#89:
>0:18911.92,31711.2;24390.36,33301.1;18906.43,31661.95;
#90:
>0:19927.88,33470.99;24669.2,33249.96;
#91:
>0:19435.66,34266.98;22203.61,27924.37;21776.02,32032.36;
#92:
>0:18351.48,32456.58;23293.31,30015.55;21818.46,32804.58;
#93:
>0:22603.48,31095.29;19575.51,33018.71;23352.87,32339.18;
#94:
>0:24969.86,32536.15;21753.42,32441.71;
#95:
>0:21878.15,30415.44;23810.27,33843.76;
#96:
>0:19414.32,32604.28;18393.63,30850.96;
#97:
>0:18991.18,31156.33;20476.54,33675.28;
#98:
>0:25047.9,32031.27;20222.18,34247.2;23365.6,34088.84;
#99:
>0:25162.85,31319.97;24719.37,33730.64;
#100:
>0:22198.03,34323.53;25031.67,31481.03;
#101:
>0:23323.51,33607.32;20302.06,33559.86;23080.16,34204.59;
#102:
>0:20050.8,34153.9;22788.5,25785.65;24331.56,33470.55;
#103:
>0:23086.5,34214.55;24164.67,33839.37;
#104:
>0:20371.38,32190.16;19979.41,33946.44;
#105:
>0:19999.29,33665.8;25229.81,28260.14;22636.76,31094.62;
#106:
>0:22074.87,31205.2;21577.09,34018.75;
#107:
>0:19675.62,33905.46;17450.65,37829.3;
#108:
>0:24599.88,34301.82;21302.47,31570.31;24448.99,32843.41;
#109:
>0:21777.15,31446.57;24804.55,30339.84;
#110:
>0:20717.67,33604.84;21396.02,31273.39;
#111:
>0:18659.71,31492.13;19141.04,32160.25;
#112:
>0:18892.89,32710.08;22577.29,27475.94;23547.16,33862.79;
#113:
>0:4886.22,23270.92;9807.14,22750.58;11362.43,21427.15;
#114:
>0:24767.59,30372.97;24462.38,33923.69;
#115:
>0:21275.96,32945.67;19783.35,32340.15;
#116:
>0:22368.48,33325.59;23623.12,32777.88;
#117:
>0:20332.91,31573.32;19708.69,34308.27;
#118:
>0:23010.31,33658.93;18270.1,27259.39;20782.2,34274.03;
#119:
>0:18472.5,30366.72;18951.6,34110.38;
#120:
>0:21319.94,33000.25;24504.09,32328.61;
#121:
>0:24579.51,34684.2;19965.33,33121.27;22626.97,30561.96;
#122:
>0:23457.1,32333.99;19325.26,33991.84;22912.96,33535.64;
#123:
>0:20376.72,34598.62;22973.45,32569.85;
#124:
>0:20369.91,31681.99;22979.89,33616.11;20825.15,30775.7;
#125:
>0:11558.2,35016.91;15746.75,38473.9;20583.81,32816.51;25223.45,33902.06;
#126:
>0:22544.46,31072.71;19105.57,33058.66;23697.55,31382.7;
#127:
>0:22675.05,30357.19;22539.41,33972.93;
#128:
>0:22077.9,32975.45;18249.46,29332.29;21357.48,32827.73;
#129:
>0:21983.26,32507.11;24245.5,34436.49;
#130:
>0:21796.27,32566.6;21918.9,31658.03;
#131:
>0:20084.22,34153.71;23728.39,27830.14;23411.02,31103.51;
#132:
>0:24121.96,30243.03;20327.96,32669.53;
#133:
>0:23708.69,31974.41;21114.82,30354.67;21940.16,33910.48;
#134:
>0:25151.22,31624.67;20342.25,31009.9;
#135:
>0:22360.36,33535.92;23515.87,32466.55;
#136:
>0:24895.98,30441.95;24874.26,30512.39;
#137:
>0:23813.4,34334.35;21712.56,33814.29;
#138:
>0:22361.48,30909.93;20968.77,28315.16;18194.8,32985.07;
#139:
>0:19158.45,30514.26;18686.04,32394.19;
#140:
>0:18165.66,30317.26;22017.2,29328.92;22646.16,31448.98;
#141:
>0:24531.21,32462.52;20098.92,31201.47;
#142:
>0:20560.04,34457.64;18318.11,31879.04;
#143:
>0:21546.47,33480.91;23223.73,30310.74;
#144:
>0:20216.52,33370.88;23328.47,30367.67;
#145:
>0:21180.71,30532.29;20134.99,33810.62;
#146:
>0:21004.51,31859.26;19123.22,31179.05;
#147:
>0:25162.86,34168.21;21591.8,30550.55;25032.69,30991.77;
#148:
>0:24799.19,32045.17;25122.95,31455.77;
#149:
>0:20903.88,34120.76;25127.19,30145.96;22417.27,32900.85;19777.5,32081.16;
#150:
>0:18204.13,31945.45;21030.96,31678.61;
#151:
>0:19933.91,32316.06;20215.3,31300.11;
#152:
>0:20017.07,31222.68;21030.82,33885.27;
#153:
>0:22552.75,33972.3;24494.28,31769.64;
#154:
>0:24653.8,33221.63;24743.6,33314.05;
