#0:
>0:19586.43,33318.13;23997.38,26409.04;21783.79,32899.26;
#1:
>0:24726.66,32092.47;23057.88,33810.61;
#2:
>0:19078.73,32747.8;18605.82,33173.92;
#3:
>0:22889.46,33272.17;21548.64,26612.84;21599.04,30718.61;
#4:
>0:21200.94,32574.43;24209.29,30253.89;19133.93,32525.09;
#5:
>0:18512.86,31928.15;20861.63,33092.34;
#6:
>0:20960.9,32538.66;20816.14,33744.3;
#7:
>0:15256.66,36976.19;13845.74,39015.08;16112.29,30240.52;16915.03,39141.53;
#8:
>0:20964.51,30283.05;22257.01,33173.04;20627.08,32281.21;
#9:
>0:21651.95,34502.45;22015.42,34376.81;
#10:
>0:19353.65,31821.22;18827.17,34120.38;
#11:
>0:21971.26,34701.03;24753.44,31838.66;
#12:
>0:20070.53,34150.01;21459.51,33865.36;
#13:
>0:15804.1,38408.72;21011.78,33835.11;24013.08,34245.15;
#14:
>0:19351.06,31084.52;23902.06,32975.39;
#15:
>0:24466.23,30642.0;20572.91,33086.37;23254.52,31879.65;19445.96,34659.58;
#16:
>0:24108.63,34512.44;23942.86,30935.58;
#17:
>0:22273.86,32549.97;22105.46,33285.43;
#18:
>0:24720.43,31266.04;21472.28,33250.37;
#19:
>0:23951.58,31898.29;20507.36,30231.49;24905.83,33887.78;
#20:
>0:18438.94,34583.86;19046.61,32249.84;
#21:
>0:24811.77,33099.94;23581.02,34500.27;
#22:
>0:19822.37,31737.34;24977.27,33618.87;
#23:
>0:17455.03,36244.63;18748.59,32003.04;24101.51,30731.22;20045.05,31169.9;
#24:
>0:19092.97,30710.4;19944.55,30919.59;
#25:
>0:20220.13,34278.76;24147.85,30124.25;25102.94,31407.41;
#26:
>0:24130.8,28529.72;21903.53,33831.93;24689.49,34750.3;
#27:
>0:18753.55,31697.41;19462.14,31109.89;
#28:
>0:20620.02,32082.2;22532.19,26140.03;23946.86,34189.33;20988.84,32741.86;
#29:
>0:23242.34,33181.29;22450.21,33918.78;
#30:
>0:19296.56,34164.8;18958.89,33081.4;
#31:
>0:5942.83,24638.57;8721.29,30142.13;13853.8,32601.53;16677.52,35720.69;21151.57,36090.31;22963.23,34810.48;
#32:
>0:18233.16,34129.35;20332.66,32343.56;
#33:
>0:24698.01,32311.32;18831.08,29061.06;18832.47,31325.9;
#34:
>0:18761.62,31118.22;23816.84,30445.85;19472.92,34292.21;
#35:
>0:20645.07,33883.13;23165.36,30439.47;
#36:
>0:24729.33,31125.3;21939.42,33477.81;
#37:
>0:15729.86,37888.0;14191.96,33428.56;12835.38,28076.6;
#38:
>0:24232.11,30533.54;23122.13,31711.43;
#39:
>0:20728.3,31621.55;22330.78,31469.58;19059.45,30655.17;
#40:
>0:24922.66,34608.18;20227.17,29024.61;18951.7,32496.74;22719.04,30329.76;
#41:
>0:20142.15,33181.02;24888.19,30460.24;18250.92,30820.03;
#42:
>0:20132.94,31317.99;22513.21,30729.01;
#43:
>0:24469.8,32031.81;20875.11,31252.42;24182.1,33283.44;21216.27,30643.91;
#44:
>0:20616.59,34154.79;21394.48,30881.72;
#45:
>0:23598.83,31924.13;23080.62,34633.59;
#46:
>0:24223.69,32299.7;18301.75,32804.52;
#47:
>0:21057.16,30418.99;20887.4,34261.75;
#48:
