#0:
>0:21574.04,33386.19;24753.69,34569.83;
#1:
>0:14283.82,26438.79;15385.68,28631.82;19677.86,21244.74;21962.57,24140.09;
#2:
>0:23593.51,32979.58;20865.68,32270.38;23890.23,34689.79;21285.07,33414.8;
#3:
>0:20532.96,32858.8;19009.49,31223.49;
#4:
>0:24266.27,30341.39;19849.77,37116.98;17357.06,36399.47;11166.72,38181.89;14427.05,36867.1;
#5:
>0:22479.35,34216.02;18374.21,34096.6;
#6:
>0:19494.2,31405.66;21748.27,30802.0;
#7:
>0:20375.13,34471.1;23998.19,30960.61;
#8:
>0:18763.94,32336.85;23719.84,26153.94;23989.32,32409.52;
#9:
>0:19832.78,33880.61;22319.21,33370.85;
#10:
>0:6850.8,37376.35;5704.36,33328.31;5562.67,27826.95;4764.16,22915.48;5001.02,20951.01;
#11:
>0:21465.09,33387.43;24202.11,28361.89;24017.17,33172.93;
#12:
>0:21509.89,31141.11;19623.85,31128.11;
#13:
>0:18958.63,32250.02;21196.98,31394.44;
#14:
>0:24293.38,34082.82;22078.67,33865.3;
#15:
>0:24566.11,32444.25;19233.88,32073.15;25096.57,31573.12;
#16:
>0:24977.43,33241.84;19119.27,28438.09;20484.55,31118.91;23171.09,33417.07;
#17:
>0:22164.45,31671.55;24206.89,32705.84;
#18:
>0:19211.34,32351.86;23840.18,33618.31;
#19:
>0:20071.24,30878.92;24686.5,32510.52;
#20:
>0:25210.59,30917.55;24104.79,31483.65;
#21:
>0:19403.09,34057.11;25120.49,26787.49;23585.46,31654.2;
#22:
>0:20358.37,34059.01;20738.19,30499.62;
#23:
>0:21555.82,33131.24;19701.79,33890.74;
#24:
>0:19473.49,30420.0;22015.57,32643.54;
#25:
>0:22294.92,30570.08;21650.23,30486.93;22110.98,34037.84;
#26:
>0:24457.16,34452.67;19013.4,30724.36;25240.35,33983.07;19814.85,32374.43;24090.65,30886.46;
#27:
>0:17380.28,21650.35;11353.71,23460.7;
#28:
>0:17398.31,30833.84;12174.95,27087.73;8836.79,27334.77;
#29:
>0:20161.99,33454.4;24107.95,27074.05;22922.09,32962.86;
#30:
>0:18498.75,33274.93;24947.34,34702.82;
#31:
>0:21003.52,31713.6;22237.23,32151.33;
#32:
>0:23360.73,33596.62;23574.37,33531.83;
#33:
>0:11226.22,37012.44;17663.34,35709.03;11178.92,34752.3;17174.53,36031.82;11843.01,37633.45;17981.96,37862.18;
#34:
>0:23237.79,33924.88;20619.16,30709.52;
#35:
>0:15538.31,37688.94;19308.68,33613.72;18700.35,29421.14;16221.28,23107.47;21255.46,20596.8;
#36:
>0:20401.24,32726.95;22939.69,30774.63;
#37:
>0:18172.68,33866.41;23356.34,34341.96;20848.44,31283.49;
#38:
>0:14926.36,36673.31;21628.25,30962.76;23982.01,28684.27;24088.48,32869.19;18336.32,35928.75;16582.62,39111.67;13151.66,38833.67;17817.13,35692.94;
#39:
>0:23919.24,34275.69;24839.29,33918.23;
#40:
>0:21512.76,31442.23;23644.25,34499.38;
#41:
>0:5099.51,12362.65;10396.81,13346.43;
#42:
>0:13041.71,37912.98;15810.82,35382.08;14000.81,34871.3;15609.49,36746.19;12384.16,37695.79;17941.81,35364.69;11349.3,34943.97;
#43:
>0:21023.71,26239.95;20413.33,27829.65;
#44:
>0:24628.11,30618.77;19959.36,34151.82;25164.33,31948.95;
#45:
>0:11742.39,36725.38;12039.9,38390.82;
#46:
>0:16210.58,20753.59;13837.15,17419.34;
#47:
>0:11887.26,36009.9;12510.18,36408.88;
#48:
>0:20920.95,30991.94;19809.9,31027.37;
#49:
>0:19524.22,33419.13;23931.1,31028.33;
#50:
>0:25163.55,31146.12;19119.14,31981.11;21831.63,30519.84;
#51:
>0:22917.33,32940.05;18462.38,33742.52;
#52:
>0:20854.44,33988.87;22190.68,27761.38;24012.34,32839.33;
#53:
>0:21747.79,31764.37;19332.82,32731.93;
#54:
>0:21797.8,33544.03;24046.43,31710.17;
#55:
>0:16243.41,36214.43;13944.42,37900.65;15938.96,36819.84;11886.33,35286.52;16479.17,36492.93;
#56:
>0:13604.08,37918.03;15121.81,37545.11;
#57:
>0:20844.88,33242.86;24511.34,31424.38;
#58:
>0:21598.53,30571.78;18661.91,31757.15;
#59:
>0:17611.77,35724.77;14189.32,37163.92;
#60:
>0:24673.97,33314.42;18487.3,30229.58;24957.22,33504.97;
#61:
>0:18399.68,31403.13;21805.98,32516.93;18208.57,31323.8;24116.52,32103.07;
#62:
>0:21220.87,31109.69;19937.72,32511.08;
#63:
>0:21219.19,31338.64;24922.26,33210.07;19993.95,32260.54;
#64:
>0:23211.68,30470.91;24493.76,33927.06;
#65:
>0:11301.59,37514.46;16205.67,36407.05;15624.95,36236.15;14257.57,35458.12;14821.92,38099.85;
#66:
>0:18963.83,21325.55;23777.5,27200.19;
#67:
>0:12653.44,32989.77;15542.06,28244.56;19440.45,24415.42;18652.76,16822.1;
#68:
>0:24874.94,31582.68;19808.67,31266.77;
#69:
>0:23006.58,33545.58;23881.86,33463.7;
#70:
>0:19256.93,32016.31;24070.84,33239.59;
#71:
>0:19396.22,30745.42;24246.08,32310.12;20089.37,33832.67;
#72:
>0:6194.53,20261.53;9090.21,18583.22;
#73:
>0:21405.15,33060.84;21418.4,34057.82;
#74:
>0:18804.16,31694.44;22371.46,31902.2;19234.02,32082.37;
#75:
>0:18949.87,33546.07;23094.92,34153.98;
#76:
>0:25064.18,31677.28;18997.82,34572.15;24906.27,31655.71;18793.94,33607.41;
#77:
>0:24126.12,34021.41;24564.68,33859.25;
#78:
>0:23627.97,33318.33;23713.84,32258.49;
#79:
>0:14938.16,37963.96;11089.4,35671.37;15916.69,36454.81;11884.5,38404.14;14913.07,35335.32;11190.65,35492.12;18139.31,37854.62;17402.4,38413.07;14447.89,38359.94;16522.24,34912.82;
#80:
>0:17249.11,15208.56;14484.74,18279.61;9942.87,23112.41;5015.98,26332.61;
#81:
>0:22309.29,28014.35;20833.62,34471.52;14848.03,32977.56;11831.77,33362.51;
#82:
>0:20257.87,33704.87;19836.21,30827.74;
#83:
>0:23488.03,32871.01;19541.94,33081.7;22750.62,33429.41;
#84:
>0:21119.61,31061.83;20431.94,34646.41;
#85:
>0:20170.4,33534.81;24420.55,29964.21;22714.32,32601.56;
#86:
>0:22785.38,32074.88;25161.39,33399.68;
#87:
>0:25042.53,30825.62;19290.35,31232.75;
#88:
>0:21853.65,32590.67;22783.48,31606.16;
#89:
>0:21629.55,31997.42;22720.42,32321.08;20156.53,33673.59;23971.45,32937.7;
#90:
>0:12655.75,35195.73;16939.53,36230.84;17526.38,33773.61;18457.22,33096.65;15549.33,34874.22;13430.35,34807.39;15221.69,39093.64;
#91:
>0:21940.62,31530.93;25056.13,31222.5;
#92:
>0:18453.97,33019.6;22992.64,30133.84;22808.73,34695.55;
#93:
>0:19973.92,30922.05;21815.91,29109.88;23918.27,32124.57;
#94:
>0:10483.44,13761.45;12149.09,16595.1;16589.55,12942.05;19631.64,15583.53;
#95:
>0:24155.05,20187.29;21455.17,22969.85;
#96:
>0:20358.69,33829.82;23817.74,34120.18;
#97:
>0:21807.19,33717.88;21636.26,29148.72;19264.29,34248.79;
#98:
>0:12478.44,38915.57;11243.88,38021.95;14840.04,38124.4;13923.53,38088.58;15134.74,35863.28;12913.44,38828.93;
#99:
>0:21181.26,30259.12;18548.07,30301.6;
#100:
>0:22446.17,33844.05;20566.8,33531.27;21848.0,30531.21;
#101:
>0:18829.8,34137.6;20213.22,32801.53;
#102:
>0:15065.09,18574.07;13273.33,23128.53;8068.1,27763.33;10894.86,34285.98;10118.86,37783.68;
#103:
>0:19712.42,32969.16;18008.78,27784.93;12606.29,22760.8;12619.0,18055.21;16541.83,14222.3;
#104:
>0:21793.85,31770.34;20785.18,31717.69;22685.32,30333.54;
#105:
>0:23576.26,34501.21;20383.83,30338.58;23733.51,33793.27;
#106:
>0:21985.19,30524.63;18701.09,28406.77;20378.76,30958.03;23383.99,33023.13;
#107:
>0:23661.51,30804.02;25147.34,31237.04;
#108:
>0:23171.5,31385.99;21953.75,34245.62;
#109:
>0:20618.18,34617.64;25225.11,31089.17;
#110:
>0:18275.67,32307.1;21913.05,32618.58;
#111:
>0:9899.01,25221.09;14167.47,17258.66;
#112:
>0:25037.23,31537.47;21376.14,30208.35;21546.77,32953.42;
#113:
>0:6231.91,25650.55;4500.11,17754.69;
#114:
>0:23635.47,31995.99;23615.75,30532.19;
#115:
>0:19808.99,34700.24;22144.61,27414.32;22955.18,31095.77;
#116:
>0:24543.88,31590.44;19090.68,32814.16;24357.33,28323.5;23709.8,32022.27;
#117:
>0:16444.53,38638.79;11746.75,32006.05;9369.36,26856.94;6857.9,21615.05;
#118:
>0:17681.64,23085.98;11542.54,29701.93;9890.69,33204.98;
#119:
>0:18974.33,31627.4;20920.59,30960.45;
#120:
>0:13824.99,35254.15;11713.37,32008.28;17725.54,36468.18;11477.54,37121.0;17660.04,37825.29;11609.79,35134.4;18147.11,37178.53;11977.34,37684.58;
#121:
>0:24613.36,32944.37;22216.23,31188.55;
#122:
>0:24180.95,30593.82;19598.87,34049.09;23734.23,31964.82;
#123:
>0:21949.17,31321.88;22273.33,32596.59;
#124:
>0:21297.93,32842.54;20956.13,31775.95;
#125:
>0:19163.89,34689.0;18448.43,32381.38;
#126:
>0:20997.43,32313.95;24688.8,33957.02;
#127:
>0:24828.05,31109.42;21805.0,30590.18;
#128:
>0:22288.86,31052.71;23710.21,32219.98;
#129:
>0:18207.09,31428.14;22173.05,33580.66;19906.48,31170.23;
#130:
>0:15137.16,35089.56;13857.05,35147.39;16707.08,35351.8;
#131:
>0:25192.0,34586.72;20635.89,31368.28;21902.64,33803.31;20411.44,34029.17;25046.6,33781.98;
#132:
>0:19374.39,34431.94;19004.54,30939.4;
#133:
>0:24724.87,31215.11;20885.66,29931.59;19769.5,31584.82;
#134:
>0:18770.33,34038.44;25029.73,27965.19;21844.66,33323.68;
#135:
>0:20894.17,13693.75;16131.24,17753.82;11936.82,17638.47;9724.6,12637.69;4338.35,18773.89;
#136:
>0:22016.92,33276.3;25138.03,32422.72;
#137:
>0:22356.7,30405.28;21611.22,33535.94;
#138:
>0:24370.84,15687.08;20294.33,12918.88;
#139:
>0:23560.3,34340.22;20301.04,32231.42;
#140:
>0:8159.56,19986.18;6394.74,22991.01;9339.2,26978.96;10149.8,30985.12;9745.23,35084.58;
#141:
>0:21305.57,34588.9;24106.29,30326.15;
#142:
>0:19154.6,32453.09;24754.88,32800.31;18925.18,32820.93;
#143:
>0:25033.45,24893.96;21891.42,26385.92;
#144:
>0:24615.5,31700.62;21323.95,32609.06;22774.41,32667.5;
#145:
>0:18102.97,36656.21;12715.66,36162.61;
#146:
>0:18975.52,30572.88;19144.57,33574.04;
#147:
>0:18157.61,33141.34;18920.31,34435.71;
#148:
>0:19753.32,33548.08;19228.91,33953.8;
#149:
>0:10300.29,20808.77;12808.89,24481.39;16164.63,28908.83;20773.93,32609.37;
#150:
>0:12913.2,22495.5;15681.85,26024.52;12898.43,33807.76;13628.4,37647.16;
#151:
>0:20791.21,34497.77;20737.09,31007.66;
#152:
>0:23867.94,32555.92;21648.86,30899.13;24030.13,30594.38;
#153:
>0:20853.51,32150.71;18972.97,30680.0;
#154:
>0:20143.49,32352.93;24949.59,31337.86;18814.12,28111.0;18277.62,30779.3;
#155:
>0:22066.07,33350.3;19570.23,33505.13;23213.52,34481.17;
#156:
>0:18364.47,31147.92;20225.04,32088.12;
#157:
>0:21817.71,30481.84;19866.19,32017.73;23755.04,31465.12;
#158:
>0:18378.61,32281.54;20187.55,33921.6;
#159:
>0:20151.17,30244.37;21119.55,31938.73;
