#0:
>0:20694.35,33330.86;18203.42,34227.14;
#1:
>0:18176.82,31530.2;24745.71,33094.09;
#2:
>0:22662.28,33809.21;20670.02,32686.01;24009.34,32187.99;
#3:
>0:21906.42,31728.2;18231.21,34415.22;
#4:
>0:23542.27,32306.49;23013.49,30477.99;
#5:
>0:24036.19,34665.65;22159.86,31773.5;
#6:
>0:19607.35,31408.31;20301.33,32673.33;
#7:
>0:19531.39,31841.89;19398.16,30431.58;
#8:
>0:19223.87,30699.71;24153.69,34123.55;
#9:
>0:24534.92,33535.31;25153.33,34178.52;
#10:
>0:17160.53,18733.53;17679.56,19565.07;
#11:
>0:24648.19,33448.51;24988.78,34319.45;
#12:
>0:18725.19,30740.08;21693.41,34423.01;
#13:
>0:19959.85,32976.73;23714.83,32009.09;20248.03,34449.6;
#14:
>0:14861.08,35397.68;14592.73,30455.23;13154.1,38955.47;
#15:
>0:23024.35,32784.54;24425.64,33417.19;
#16:
>0:20963.38,33204.88;23307.65,28615.9;22323.82,33432.23;
#17:
>0:21846.76,33932.79;21345.79,33576.09;
#18:
>0:21767.95,31445.78;19037.3,32004.63;24280.2,34524.43;
#19:
>0:25109.99,31656.03;24376.93,34226.99;
#20:
>0:24118.68,34314.46;20632.28,28671.12;19758.87,33530.49;24920.68,31747.51;
#21:
>0:20109.67,34356.64;21490.59,30970.82;
#22:
>0:23772.14,34407.1;20365.23,31835.07;21890.08,34180.88;
#23:
>0:19511.67,30443.96;18156.19,31648.89;
#24:
>0:24437.11,31272.15;22427.7,31126.2;
#25:
>0:20646.37,31226.56;19834.22,33902.45;
#26:
>0:24912.65,33943.66;20076.48,28619.29;18218.8,33147.84;
#27:
>0:20288.58,32610.3;24873.43,26961.93;22774.09,34432.01;
#28:
>0:21805.33,30636.27;23945.12,30378.83;
#29:
>0:20629.01,33203.37;18728.14,33797.99;
#30:
>0:25087.69,34450.15;20513.37,33590.63;23369.55,34350.82;
#31:
>0:18182.69,30465.03;20278.71,30789.29;
#32:
>0:22903.58,32573.23;18165.94,28468.83;20234.88,33005.13;
#33:
>0:21097.48,31554.92;18362.96,31356.71;
#34:
>0:21912.15,31458.33;19909.38,34071.04;24459.97,26065.68;23809.83,30493.85;
#35:
>0:23724.99,30442.86;23382.03,32604.79;
#36:
>0:24829.56,30262.11;22028.82,32712.43;
#37:
>0:24870.94,34046.52;23839.19,33465.14;
#38:
>0:23049.53,32848.33;21223.31,33650.53;22783.36,32604.01;
#39:
>0:18853.06,32427.57;18276.36,33655.47;
#40:
>0:25009.63,30655.15;25221.82,32638.9;
#41:
>0:19554.23,34443.15;20131.6,32515.63;
#42:
>0:19125.92,30541.03;23486.58,34435.3;19599.31,29871.03;18883.92,32666.64;
#43:
>0:22900.01,31758.81;20161.43,30897.98;
#44:
>0:23756.18,31271.71;24804.47,32591.83;
#45:
>0:20601.32,33857.08;20217.15,32433.72;
#46:
>0:19057.09,33369.81;20602.08,34305.13;
#47:
>0:22480.46,32414.42;21141.93,32760.15;
#48:
>0:12765.17,32133.02;12772.62,26812.04;12866.51,23652.79;16542.94,20809.59;
#49:
>0:25048.88,32878.65;22787.62,31266.68;
#50:
>0:23738.42,33351.54;24382.28,30637.07;
#51:
>0:25140.93,34483.49;20576.98,30305.93;24031.21,31954.72;
#52:
>0:20346.82,30461.2;22548.57,34249.22;21298.31,33977.63;
#53:
>0:19493.35,33913.38;22761.62,31276.12;
#54:
>0:22841.49,34230.01;23206.01,34228.13;
#55:
>0:25140.08,32383.08;19214.98,26269.8;19492.51,33460.94;
#56:
>0:21821.39,34114.23;20536.95,32854.87;22904.6,34030.56;
#57:
>0:22973.38,32395.01;21260.07,33795.56;
#58:
>0:24608.95,32668.97;21562.43,31661.87;
#59:
>0:19251.61,33773.68;24313.8,34451.78;
#60:
>0:19098.87,32626.81;24734.86,33091.88;
#61:
>0:22575.08,30732.85;20803.98,30975.53;24216.91,33538.38;
#62:
>0:23607.61,34536.24;20935.48,31315.22;
#63:
>0:19754.76,31931.77;23154.12,32769.91;
#64:
>0:18457.64,34052.93;20782.47,34541.84;
#65:
>0:18329.79,33851.01;19910.64,33947.57;
#66:
>0:24691.06,33601.74;23102.88,30407.64;
#67:
>0:21713.64,33618.87;19678.43,34695.57;22305.24,31836.51;
#68:
>0:21268.09,33383.95;22043.19,32005.1;
#69:
>0:20466.25,33445.67;22737.93,33003.77;
#70:
>0:18993.92,32673.02;22046.49,28856.47;23703.44,30827.41;
#71:
>0:24070.5,31819.58;22310.85,32256.68;
#72:
>0:21068.11,31795.94;23315.44,32072.04;
#73:
>0:19520.94,31095.94;20290.89,31617.39;
#74:
>0:19406.03,33260.09;21614.96,32978.07;
#75:
>0:20811.72,32096.24;23215.37,30863.07;
#76:
>0:25192.08,33123.37;23888.84,30961.35;
#77:
>0:21726.61,30892.51;18780.27,29703.37;20761.39,32928.37;
#78:
>0:21783.33,30291.29;23899.23,30783.54;
#79:
>0:24184.44,33453.88;22468.22,33037.7;
#80:
>0:20112.13,32857.58;21464.26,32742.6;
#81:
>0:21879.8,34221.72;19430.22,31886.37;21846.43,30698.55;
#82:
>0:23480.86,30628.59;24096.52,33311.13;
#83:
>0:22950.33,34213.38;22375.55,31869.98;
#84:
>0:22677.9,32219.2;18425.57,32792.33;24113.11,31591.81;
#85:
