#0:
>0:23046.42,34344.45;19364.94,33796.89;22969.5,30256.81;18269.26,30932.11;22848.93,32837.67;18958.34,33056.1;
#1:
>0:19806.42,31986.83;24814.33,33774.46;19480.97,32567.81;
#2:
>0:18958.71,30863.59;23584.79,32175.71;18185.41,34266.13;
#3:
>0:22202.09,32310.14;18396.19,31536.61;22912.73,33288.15;
#4:
>0:23827.6,33232.84;19916.32,29226.24;17655.6,24763.18;14575.36,20748.51;
#5:
>0:23066.35,31363.52;24240.73,32752.56;
#6:
>0:23237.19,33485.83;23202.34,30774.2;
#7:
>0:20271.81,32011.56;20434.85,34098.91;
#8:
>0:20841.77,33949.42;24685.77,31450.49;19620.94,32496.23;
#9:
>0:23698.32,32468.96;24380.19,32088.64;
#10:
>0:22393.41,34366.53;24713.81,33117.87;
#11:
>0:18348.27,33632.35;24019.5,32595.63;20968.98,32377.1;
#12:
>0:19043.14,33718.61;18387.55,31607.36;
#13:
>0:24059.75,32740.36;22303.61,34591.95;
#14:
>0:24858.86,33433.94;21553.35,32471.11;
#15:
>0:22847.83,33990.45;24766.44,34299.56;
#16:
>0:20311.08,32597.3;19901.96,34363.84;
#17:
>0:22907.36,30636.58;21437.46,34126.83;
#18:
>0:20587.43,34432.88;24611.29,32842.4;
#19:
>0:21288.42,31877.34;23036.46,32172.89;
#20:
>0:21990.94,30756.13;18736.88,27784.4;21585.26,32512.08;
#21:
>0:22594.18,31522.14;21731.37,34355.69;
#22:
>0:18349.12,31355.05;22619.87,33360.79;
#23:
>0:23159.69,30925.42;22318.87,33473.4;
#24:
>0:18382.87,30301.96;19886.37,31498.06;
#25:
>0:19537.4,30346.42;20404.91,30321.85;
#26:
>0:20171.19,31119.49;19269.06,30577.37;
#27:
>0:24588.4,30322.83;23368.38,31606.28;
#28:
>0:20793.36,30854.69;19222.59,32324.19;
#29:
>0:20418.96,33772.82;24891.52,35830.52;22343.52,34509.43;
#30:
>0:21056.35,32297.92;18731.35,31073.07;
#31:
>0:24266.84,31078.98;24260.69,34174.34;
#32:
>0:21476.48,34103.89;20479.2,32785.51;
#33:
>0:20753.4,34374.23;25061.52,32733.88;
#34:
>0:18410.35,32044.2;20817.23,30815.32;
#35:
>0:20807.87,30311.74;24617.98,33738.93;
#36:
>0:19954.04,34322.62;25005.96,33358.09;
#37:
>0:15536.84,35937.16;20318.47,38233.8;19250.21,32074.41;24096.3,31732.57;
#38:
>0:18207.91,31444.87;22674.05,33133.28;
#39:
>0:21201.19,30981.3;19150.16,33770.75;
#40:
>0:23035.18,32922.42;19377.62,36878.37;15232.97,35548.43;
#41:
