#0:
>0:24775.86,12583.34;22160.17,15337.41;
#1:
>0:12207.55,36680.72;13844.76,35868.08;
#2:
>0:21998.23,30801.57;25055.15,31615.59;
#3:
>0:20847.23,30844.52;20083.07,34692.6;
#4:
>0:23595.63,31699.75;23806.97,32976.08;
#5:
>0:11824.82,36194.9;16624.46,37480.04;14002.1,35623.72;16245.96,37758.8;14269.3,38249.35;16028.39,38409.03;11308.21,35549.78;17965.45,38814.21;
#6:
>0:24063.37,31893.38;24151.85,33712.7;18845.91,31928.3;25097.97,33252.89;
#7:
>0:20486.54,34185.25;21013.79,32629.2;
#8:
>0:14631.54,38685.3;15872.37,36537.37;
#9:
>0:7096.27,12435.24;7047.84,16175.1;
#10:
>0:20024.66,32959.98;18227.86,33730.11;
#11:
>0:13149.71,38102.6;11856.24,35243.6;
#12:
>0:15154.43,35264.94;16466.18,35512.5;
#13:
>0:19317.86,31543.84;19491.24,32888.43;
#14:
>0:18163.75,34450.17;18339.2,33593.72;
#15:
>0:12641.41,38224.58;14161.3,35534.78;
#16:
>0:19837.18,33649.31;19813.58,32756.03;
#17:
>0:20295.19,33234.61;21624.86,31337.82;
#18:
>0:21065.77,33735.97;19241.26,33930.54;
#19:
>0:20876.23,34537.61;19787.11,30623.0;
#20:
>0:22137.55,33177.27;24082.58,32127.29;
#21:
>0:18725.43,30222.32;19869.44,32002.99;
#22:
>0:21589.73,30327.77;24763.71,32274.26;
#23:
>0:12785.96,34720.56;11252.63,38276.69;
#24:
>0:12416.11,39137.34;13449.23,36558.61;
#25:
>0:15861.57,36779.37;15520.29,37085.32;
#26:
>0:23965.58,32481.19;19408.89,33293.57;
#27:
>0:24066.87,34602.7;19700.29,31221.58;
#28:
>0:24591.95,32429.46;19319.14,31403.83;
#29:
>0:19351.9,30519.78;21182.32,33895.78;
#30:
>0:21629.05,32352.08;19629.98,34534.96;
#31:
>0:21492.58,33052.7;24307.46,33651.83;
#32:
>0:23218.79,30747.16;22025.89,32359.62;
#33:
>0:20509.66,32730.13;19385.38,34123.82;
#34:
>0:19437.82,33318.69;19597.68,33167.02;
#35:
>0:25120.52,30883.82;22361.03,32298.44;
#36:
>0:16376.64,34730.77;17658.99,37110.75;
#37:
>0:20435.82,33945.83;19821.85,30385.48;
#38:
>0:23151.89,33111.6;18910.23,32318.06;
#39:
>0:18229.04,32550.76;21390.75,33826.69;
#40:
>0:20831.8,30963.25;22853.89,33622.86;19103.62,32144.4;
#41:
>0:20249.19,33716.03;21526.76,31954.98;
#42:
>0:23093.72,32824.29;18854.27,34072.09;24384.11,31479.86;
#43:
>0:18626.71,33809.76;18182.09,33978.68;
#44:
>0:25235.07,30838.41;24210.82,34531.51;
#45:
>0:18716.47,33722.66;19922.07,33486.49;
#46:
>0:16663.1,38930.78;18027.77,37949.48;
#47:
>0:22257.31,30771.94;24431.65,33882.08;
#48:
>0:21623.93,32184.16;20872.79,32684.71;
#49:
>0:11185.52,35594.93;16415.17,35520.05;11803.84,36514.96;16142.55,36287.43;11604.48,37588.62;15098.05,35086.06;
#50:
>0:24708.69,33943.66;23876.3,33825.53;
#51:
>0:22229.58,33339.0;22721.72,31824.09;
#52:
>0:21994.38,33196.26;22842.02,30786.97;
#53:
>0:22155.98,34011.84;22342.31,33392.46;
#54:
>0:19837.61,30910.31;23934.46,31204.19;
#55:
>0:18997.23,31981.91;18684.33,32123.73;
#56:
>0:6503.42,13360.58;4499.05,15527.88;
#57:
>0:20242.34,33984.86;20424.58,33124.29;
#58:
>0:23925.23,32986.99;24185.79,30424.01;
#59:
>0:24155.98,13352.0;24879.19,12475.74;
#60:
>0:18323.51,32301.49;19200.12,33829.99;
#61:
>0:5459.8,16349.63;5369.5,16572.82;
#62:
>0:22440.88,31620.41;19996.86,30361.08;24610.18,33844.39;
#63:
>0:23392.45,14744.22;22430.49,12621.14;
#64:
>0:18665.58,31613.01;19196.14,31329.7;
#65:
>0:18400.53,32426.84;18996.98,33501.47;
#66:
>0:20970.52,31736.61;18793.08,30261.33;
#67:
>0:21601.17,31846.58;18640.22,31554.06;
#68:
>0:20804.98,30961.68;20808.1,30264.08;
#69:
>0:21878.53,30539.24;22433.88,31132.48;
#70:
>0:21238.2,34135.32;20429.62,32507.47;
#71:
>0:22215.19,32863.07;23281.33,33551.3;
#72:
>0:23252.34,32497.51;22302.38,33285.9;
#73:
>0:23805.67,30662.64;23273.78,30281.31;
#74:
>0:18329.26,32143.49;20394.94,32161.68;
#75:
>0:19664.55,32499.05;19599.48,30533.5;
#76:
>0:12211.05,36723.18;12741.44,38544.99;
#77:
>0:5846.99,13432.54;5400.84,16239.87;
#78:
>0:21588.72,33518.01;18539.36,33252.85;
#79:
>0:15835.42,39056.37;15208.34,37150.94;
#80:
>0:24832.66,31387.75;24308.55,31184.47;
#81:
>0:21552.78,33542.59;19937.84,34214.42;
#82:
>0:19963.42,31669.97;20641.07,31865.63;
#83:
>0:22335.13,15409.22;23187.72,16454.01;
#84:
>0:14002.8,37625.98;13379.16,35495.57;
#85:
>0:22377.6,33913.76;22941.28,34474.51;
#86:
>0:20492.68,31196.76;20652.97,31941.03;
#87:
>0:7211.64,14286.75;6741.77,15250.15;
#88:
>0:22426.03,31120.84;22420.13,34557.17;
#89:
>0:20165.35,31296.73;22809.69,30278.54;
#90:
>0:19665.03,33754.36;20262.48,30371.0;
#91:
>0:23247.32,31484.12;18946.66,32409.55;
#92:
>0:24480.0,30380.75;19332.66,30525.06;
#93:
>0:20551.73,30884.19;18376.4,31671.71;
#94:
>0:12515.31,36164.69;11091.16,38257.72;
#95:
>0:21232.42,31499.94;21138.27,32248.62;
#96:
>0:11869.22,38834.34;17401.03,36771.01;
#97:
>0:23834.2,33174.17;23394.56,33487.9;
#98:
>0:17037.48,35791.97;12905.51,38888.55;
#99:
>0:22385.26,14501.81;22024.81,16485.09;
#100:
>0:23867.09,32796.46;18812.79,31000.08;
#101:
>0:12108.82,38254.01;16667.49,36920.63;15491.16,37853.87;
#102:
>0:22914.01,14358.27;22818.6,13886.13;
#103:
>0:22042.19,33509.73;24316.81,31479.52;
#104:
>0:18650.5,32599.0;20785.62,34141.52;
#105:
>0:19863.18,32580.9;19287.49,33760.33;
#106:
>0:18854.12,32012.88;23625.05,32408.94;
#107:
>0:18841.62,33425.79;19071.34,30872.97;
#108:
>0:22018.77,33135.59;24519.45,34401.2;
#109:
>0:20097.48,31288.32;21167.4,33390.22;
#110:
>0:14630.08,36865.7;16359.11,36929.86;
#111:
>0:21328.94,33450.73;20387.46,34615.33;
#112:
>0:22696.81,16612.05;23996.01,13406.17;
#113:
>0:20951.48,31023.55;19273.39,33100.38;
#114:
>0:19815.1,34081.19;20388.71,32545.76;
#115:
>0:23620.88,33443.56;23012.32,33416.86;
#116:
>0:22716.15,16135.99;23784.5,13666.86;
#117:
>0:23585.37,30884.48;25082.97,32248.73;
#118:
>0:11893.11,17862.14;12344.44,18637.98;
#119:
>0:6557.95,15201.79;6240.81,15725.95;
#120:
>0:21588.94,34050.73;21398.84,30498.81;
#121:
>0:24138.86,32133.97;24889.23,31276.73;
#122:
>0:18678.84,32467.96;19825.53,32937.91;
#123:
>0:20347.14,31308.19;20541.03,33361.31;
#124:
>0:21379.95,34165.67;21541.88,30959.28;
#125:
>0:24302.96,34306.73;23008.19,32334.5;
#126:
