#0:
>0:19265.27,21269.35;16280.08,21059.5;12910.34,17721.66;8935.72,19798.48;4416.07,12888.98;
#1:
>0:18988.33,33396.18;20069.78,34018.12;
#2:
>0:19894.29,20044.46;16162.57,20494.93;14249.0,17116.74;
#3:
>0:16077.85,36549.14;14992.46,36559.41;
#4:
>0:22245.37,30608.56;22099.65,33573.71;
#5:
>0:20043.11,32836.66;20767.0,34601.95;
#6:
>0:17541.03,36724.52;16380.31,38108.86;
#7:
>0:20042.98,33200.94;19083.2,32403.14;
#8:
>0:22809.47,34462.96;20020.84,33173.36;25181.55,31215.17;
#9:
>0:7290.4,39073.31;8356.43,32660.46;14483.94,29168.12;13107.84,23121.71;11434.99,17692.71;
#10:
>0:19020.47,34444.02;20785.26,31007.19;
#11:
>0:20305.23,30688.4;18663.33,33369.2;
#12:
>0:21955.2,34249.51;25100.82,32766.52;
#13:
>0:24705.19,31911.94;23072.79,33523.21;
#14:
>0:20603.67,31298.59;21461.3,30652.24;
#15:
>0:22210.35,30638.25;19755.52,32607.35;
#16:
>0:16055.99,35468.27;16623.63,35320.14;
#17:
>0:15891.05,37574.72;15545.11,36385.47;
#18:
>0:24188.56,34019.93;23209.32,30954.36;
#19:
>0:18870.29,30363.96;23473.36,33541.37;18842.75,33305.2;
#20:
>0:23296.06,33747.83;24566.73,31381.44;
#21:
>0:25202.7,30682.69;22462.88,30549.17;
#22:
>0:5598.82,19910.31;9382.97,24295.08;12250.14,28575.43;16472.67,30342.91;20941.46,36343.83;24056.98,36715.83;
#23:
>0:23473.51,33683.67;23178.41,34469.08;
#24:
>0:17998.45,37057.47;14970.08,38741.62;
#25:
>0:22687.96,30554.63;20457.03,30869.41;
#26:
>0:22330.11,33166.48;24249.31,34035.3;
#27:
>0:12576.84,12810.36;15794.81,18699.68;19147.9,24903.9;19011.65,26168.4;19786.54,30382.77;18263.58,39036.27;
#28:
>0:20773.89,32486.94;20354.97,31088.23;
#29:
>0:21378.53,30869.77;19362.92,32606.15;
#30:
>0:18845.53,31545.58;18401.12,32268.11;
#31:
>0:5056.79,14337.75;5218.05,14462.1;
#32:
>0:15086.34,38533.72;14752.4,31755.48;18055.69,27479.41;15923.26,23469.64;15820.64,19433.23;15664.69,14386.59;
#33:
>0:18208.58,30913.06;18601.93,32218.46;
#34:
>0:24655.83,34577.52;22243.51,30799.31;
#35:
>0:22229.85,33992.88;19364.68,34551.8;
#36:
>0:4140.89,13333.93;5159.86,12496.37;
#37:
>0:21254.81,30993.37;19428.27,32525.25;
#38:
>0:18573.07,32641.82;20164.65,32438.37;
#39:
>0:23302.02,32060.45;23464.09,32646.05;
#40:
>0:21072.42,31369.99;19590.17,31826.65;
#41:
>0:14615.48,34714.8;15372.64,36934.13;
#42:
>0:24885.82,14846.09;22201.35,15837.07;
#43:
>0:19528.78,31083.34;18805.28,32993.58;
#44:
>0:24043.22,30653.66;22656.48,32547.49;
#45:
>0:17038.33,36503.97;17402.65,37807.97;
#46:
>0:24527.75,34316.8;21867.6,31988.25;
#47:
>0:19411.46,31693.71;18346.99,33049.32;
#48:
>0:22638.59,31479.38;22298.01,33576.32;
#49:
>0:22424.53,32447.13;22142.95,32189.12;
#50:
>0:22920.54,32115.47;21933.1,32447.76;
#51:
>0:18841.24,32629.77;18548.56,32501.82;
#52:
>0:23369.81,33585.59;23278.29,34549.18;
#53:
>0:21512.82,30300.9;19885.82,34321.27;
#54:
>0:20674.14,32232.61;19639.66,31674.55;
#55:
>0:20452.04,32366.56;19976.99,34034.97;
#56:
>0:18303.71,31340.11;20522.05,32944.73;
#57:
>0:21958.98,31675.5;24403.11,33124.07;
#58:
>0:16090.15,35447.45;15772.63,35109.38;
#59:
