#0:
>0:7477.58,18394.28;9237.33,16984.45;12192.14,21080.99;
#1:
>0:11082.3,13800.15;15206.91,18015.83;
#2:
>0:16487.25,32568.75;13829.18,26661.76;7756.19,26521.93;4533.21,30872.18;
#3:
>0:5589.61,15068.84;8012.75,12971.59;12949.67,14285.83;16845.36,13059.76;
#4:
>0:21156.48,32400.25;18877.99,34041.97;
#5:
>0:25092.44,20824.13;20671.75,22119.57;17623.21,27234.3;14569.53,31717.61;9051.61,37843.59;
#6:
>0:22823.18,32705.14;24696.27,33318.63;
#7:
>0:9652.17,38265.44;12010.16,39012.04;16901.42,37374.85;18585.14,35050.01;
#8:
>0:5152.61,16261.11;7377.62,15051.08;
#9:
>0:23540.12,15297.88;22915.67,15676.94;
#10:
>0:23160.25,15283.56;22773.23,14250.56;
#11:
>0:22602.73,17250.66;20263.04,24189.45;16181.6,28113.89;11822.22,33670.39;8929.49,36285.81;7264.55,37708.26;
#12:
>0:20037.58,33394.66;25071.02,32262.4;19742.04,30950.27;
#13:
>0:15880.35,13786.08;17807.39,13324.34;
#14:
>0:21067.66,30656.81;21525.13,31733.62;
#15:
>0:23594.21,19161.07;18692.5,21993.23;15709.99,26667.43;12462.1,30744.29;8818.85,35725.41;
#16:
>0:21700.39,32813.71;19279.29,34642.78;22953.28,33154.98;
#17:
>0:19081.68,33471.78;20196.85,33585.63;
#18:
>0:25198.85,31580.53;23999.19,34571.49;
#19:
>0:21848.77,31919.26;25178.33,30615.77;
#20:
>0:12294.32,21158.72;12409.33,19306.15;
#21:
>0:24179.17,30513.18;22434.63,31188.87;
#22:
>0:18379.13,30701.54;21372.33,30447.2;
#23:
>0:20722.63,19490.4;18215.34,25315.9;16553.86,29686.16;
#24:
>0:23667.46,30459.86;23159.2,33490.84;
#25:
>0:22228.66,33756.12;25103.14,32882.37;
#26:
>0:20764.68,30646.33;19358.2,34155.5;
#27:
>0:4373.74,19585.32;8998.97,22995.64;14437.91,24732.62;14962.09,25914.33;18708.37,31802.77;23267.26,33481.09;
#28:
>0:21049.71,31451.05;21373.34,31254.86;
#29:
>0:24972.86,32200.85;22098.01,31123.73;
#30:
>0:17360.24,33821.71;15776.62,36805.36;
#31:
>0:24890.93,33739.27;22039.7,31072.89;
#32:
>0:18250.8,20254.35;17208.38,24571.7;17854.39,26785.66;
#33:
>0:18965.97,32967.96;20342.25,34086.48;
#34:
>0:16761.45,35732.91;16244.91,35160.93;
#35:
>0:24748.02,30861.27;18237.62,33172.5;22895.02,34519.83;
#36:
>0:24279.5,30320.14;19098.93,33671.69;
#37:
>0:4324.15,17416.28;9653.22,22466.7;12551.25,27895.15;15601.04,32111.4;21273.32,38086.74;
#38:
>0:23150.8,33330.86;25217.23,32750.59;
#39:
>0:22631.18,31110.89;24913.41,32306.0;
#40:
>0:24254.73,16178.2;24635.19,13723.65;
#41:
>0:10342.76,21744.96;11477.43,18974.2;16529.78,14671.51;
#42:
>0:22882.04,31216.56;24499.2,30337.02;
#43:
>0:21351.52,34390.29;21928.51,31871.05;23257.34,32336.94;
#44:
>0:18195.85,31005.08;24933.89,32996.74;
