#0:
>0:15454.03,38289.85;15732.71,37996.77;
#1:
>0:21485.53,30832.92;20431.86,30267.27;
#2:
>0:18922.61,31167.12;21661.1,34143.96;
#3:
>0:20355.77,34381.86;19582.31,30502.08;
#4:
>0:21998.76,32884.93;23184.85,31588.66;
#5:
>0:18321.73,34010.14;20972.88,33662.02;
#6:
>0:15220.92,37291.76;16618.14,39088.1;
#7:
>0:16628.6,38762.0;17593.34,38590.23;
#8:
>0:22474.04,13737.11;22969.0,15547.19;
#9:
>0:21162.13,32654.63;19106.84,33076.36;
#10:
>0:24544.79,34256.5;19731.95,31369.97;22994.26,31032.19;
#11:
>0:18480.26,31930.07;18975.3,34374.74;
#12:
>0:14633.75,38866.92;14750.86,37512.45;
#13:
>0:17162.64,38190.16;17131.88,39177.68;
#14:
>0:21578.58,31426.54;24967.34,31331.91;
#15:
>0:19721.02,32044.37;22597.41,31098.96;
#16:
>0:17407.02,35997.56;17871.87,39002.46;
#17:
>0:19387.09,33974.95;19926.12,33639.29;
#18:
>0:24769.27,33128.04;24010.57,34569.44;
#19:
>0:21738.25,33469.08;19708.58,32660.63;
#20:
>0:15725.62,37763.35;16634.58,37015.5;
#21:
>0:22140.1,32667.05;20700.49,33611.89;
#22:
>0:12916.26,18735.78;14389.48,21223.6;
#23:
>0:19541.6,33703.05;20411.0,31118.98;
#24:
>0:18643.92,34582.88;21503.83,30256.78;
#25:
>0:22784.04,32675.45;19408.44,31746.4;
#26:
>0:14775.68,35107.18;17722.67,35175.68;
#27:
>0:21912.94,32332.27;24352.86,32752.9;
#28:
>0:18110.72,37775.79;17850.72,36293.95;
#29:
>0:16491.92,36775.68;16916.83,37584.71;
#30:
>0:21797.78,30828.58;25162.07,31994.65;
#31:
>0:16863.12,35258.15;16759.04,34791.54;
#32:
>0:12982.46,28869.01;15408.5,34367.6;
#33:
>0:23592.5,31264.72;24929.14,30466.0;
#34:
>0:22470.26,34677.78;23607.7,34626.32;
#35:
>0:24724.02,14728.31;22231.87,13015.93;
#36:
>0:22169.99,12521.82;23956.6,12970.86;
#37:
>0:23421.49,27885.12;22448.43,25648.47;24474.48,19928.69;
#38:
>0:24882.15,30726.82;23617.42,30722.35;
#39:
>0:16353.07,37885.14;16249.36,37952.42;
#40:
>0:18648.15,33785.24;18742.17,31189.45;
#41:
>0:19012.9,34616.03;20814.97,32525.25;
#42:
>0:20207.76,32156.48;21290.73,31424.85;
#43:
>0:22081.9,31832.83;24995.15,32894.46;
#44:
>0:23073.49,30969.84;23382.49,31805.65;
#45:
>0:12394.95,38314.81;14083.01,35063.57;
#46:
>0:23938.5,32022.21;24127.21,33438.61;
#47:
>0:20863.23,31257.69;21923.01,34116.54;
#48:
>0:20295.63,31315.88;19767.73,31158.43;
#49:
>0:21811.72,31288.55;23682.09,33141.12;
#50:
>0:23817.52,32180.76;25231.02,31403.89;
#51:
>0:19930.76,32775.27;23716.28,31153.69;
#52:
>0:23491.04,30662.07;22610.84,31564.6;
#53:
>0:20646.34,32464.33;19575.63,32396.33;
#54:
>0:21019.44,32792.49;19020.1,31080.5;
#55:
>0:24652.37,33324.32;22731.69,30370.7;
#56:
>0:17672.51,38293.09;16581.05,37856.89;
#57:
>0:24143.84,32320.0;24655.9,34296.59;
#58:
>0:21117.95,30847.73;24205.95,34537.64;
#59:
>0:21181.54,33020.49;18833.13,31107.36;
#60:
>0:22477.18,33973.85;22926.15,31879.77;
#61:
>0:16213.66,35707.84;16649.48,34934.79;
#62:
>0:19356.17,31447.01;20994.15,31000.91;
#63:
>0:20436.71,31962.73;18967.61,33124.4;
#64:
>0:22442.44,32844.39;22780.32,32630.37;
#65:
>0:21533.73,31490.23;24380.62,32579.7;
#66:
>0:18285.73,31762.97;21089.85,30253.66;
#67:
>0:23221.67,33497.4;24331.02,33682.92;
#68:
>0:25099.51,32960.36;21925.01,32499.77;
#69:
>0:22632.58,14685.31;24596.64,15006.92;
#70:
>0:18769.95,31144.48;19904.36,33455.65;
#71:
>0:22305.82,33992.75;23129.81,32854.23;
#72:
