#0:
>0:11926.07,26711.91;7959.19,32474.65;4095.16,34751.76;
#1:
>0:24657.89,16206.98;20194.7,19587.23;17995.69,23124.6;19053.63,28462.35;16314.24,32203.42;20676.45,38260.67;
#2:
>0:5434.01,17797.13;7570.52,14757.54;14297.46,19255.68;15011.03,20602.82;
#3:
>0:23234.7,34798.75;23693.26,37058.62;
#4:
>0:9790.35,17691.27;11420.86,21980.74;17115.13,21803.42;
#5:
>0:23091.48,37078.24;23884.79,35272.87;
#6:
>0:6269.93,38274.77;9496.43,30626.85;10888.91,26357.73;
#7:
>0:24305.29,37144.47;23054.84,35091.62;16736.05,26817.25;12591.37,25538.56;10959.75,24239.01;7350.0,22984.75;
#8:
>0:16162.97,20242.36;19627.27,22754.04;
#9:
>0:22424.81,35761.83;24077.46,35911.81;
#10:
>0:22297.04,36021.7;18946.66,36441.52;
#11:
>0:10314.66,24998.24;13823.78,20865.5;15782.6,18154.58;20013.09,16701.42;
#12:
>0:6384.35,35157.67;11033.67,31701.77;14443.61,36494.39;14763.92,31899.24;22123.62,34135.31;
#13:
>0:14790.3,39218.72;16673.0,39891.22;
#14:
>0:8192.63,23943.48;10197.35,26392.57;9716.44,30259.39;5479.47,36179.41;
#15:
>0:22924.08,36786.0;21744.97,33801.46;
#16:
>0:6524.81,12558.8;4362.93,15272.47;
#17:
>0:20133.82,37794.95;16903.84,30881.92;11375.33,29550.76;9216.32,24728.73;10704.9,20712.96;8948.23,14850.75;
#18:
>0:24199.11,36121.43;23981.09,36902.97;
#19:
>0:5431.78,26446.54;4052.74,24723.83;7209.89,17753.27;6069.09,12946.34;
#20:
>0:24154.66,32668.32;25119.95,34100.67;
#21:
>0:14013.81,15388.99;15722.86,13947.23;
#22:
>0:24517.99,34030.61;22933.25,36867.87;
#23:
>0:6235.32,33241.76;8046.96,26325.56;13748.35,23769.32;17024.46,26658.89;19019.79,25159.76;24425.32,24384.34;
#24:
>0:10782.89,18881.99;13626.98,15038.25;17211.52,17618.38;18429.85,16478.65;
#25:
>0:14729.21,39519.34;15925.31,41467.36;
#26:
>0:16405.54,41818.97;17174.75,42521.64;
#27:
>0:16972.13,33070.45;15332.69,25886.7;18127.41,24979.06;
#28:
>0:15544.5,14366.93;13843.96,20581.76;10070.07,24550.47;6103.37,27548.22;
#29:
>0:24619.11,36643.12;24302.36,32999.9;
#30:
>0:19419.13,19111.7;18015.98,20162.8;
#31:
>0:23814.66,35741.48;23436.04,33273.73;
#32:
>0:5700.58,35233.18;7126.6,37818.86;
#33:
>0:22425.72,34715.44;23463.82,34486.24;
#34:
>0:22098.3,38793.63;23813.57,34172.76;
#35:
>0:9348.53,21441.04;9661.88,27935.06;9021.45,32282.62;
#36:
>0:11862.52,16356.3;16209.82,13558.82;
#37:
>0:7574.48,38406.77;14272.61,33153.41;15897.2,29704.38;24241.67,33691.3;22953.26,33874.76;
#38:
>0:19672.45,23521.93;15647.25,27226.32;
#39:
>0:22532.99,34430.77;24415.17,33384.32;
#40:
>0:16960.35,21501.44;19235.61,22506.24;
#41:
>0:22779.74,36856.17;21457.97,35839.81;
#42:
>0:10705.58,19445.32;6991.21,22723.19;6876.89,28885.68;5526.43,30205.73;
#43:
>0:18544.47,14299.75;20055.48,21160.64;
#44:
>0:6265.82,17964.55;10682.71,23675.53;11409.28,22025.66;17191.92,26011.68;22648.41,33999.79;24611.31,33431.66;
#45:
>0:8955.38,27829.5;9129.59,25321.5;
#46:
>0:16309.71,39412.54;16845.48,42001.11;
#47:
>0:11667.5,29353.45;10285.07,23025.58;
#48:
>0:22157.79,33516.8;24305.95,36751.91;
#49:
>0:24615.29,36618.28;22462.74,33248.1;
#50:
>0:11144.62,22059.87;8780.39,25986.64;5689.1,26003.73;
#51:
>0:22942.21,34712.79;23803.65,35944.24;
#52:
>0:21848.57,35264.79;22696.08,33103.29;
#53:
>0:24854.63,36873.15;24658.03,36531.19;
#54:
