#0:
>0:19275.53,31279.56;18509.97,30872.13;
#1:
>0:21121.32,34537.39;23559.46,31178.03;21323.18,30850.92;
#2:
>0:18867.6,34093.38;20543.1,30311.13;
#3:
>0:22022.83,34154.29;18752.86,30285.25;22637.92,33555.79;
#4:
>0:24575.22,31066.1;22770.25,30308.15;
#5:
>0:19796.46,30860.25;20758.05,34348.41;
#6:
>0:21982.1,30473.08;24398.12,32257.94;
#7:
>0:23669.23,34512.32;23984.66,30691.93;
#8:
>0:21618.78,30825.58;18890.68,33832.24;
#9:
>0:15094.78,37482.9;14846.13,38243.05;
#10:
>0:18783.76,31897.43;20846.46,33516.64;
#11:
>0:20947.29,34556.4;19345.5,34611.4;
#12:
>0:25087.0,33744.52;23096.6,32793.16;
#13:
>0:24564.27,31483.84;22415.86,33683.76;
#14:
>0:23518.99,33131.46;24408.94,32055.63;
#15:
>0:11892.78,37892.11;12662.7,37925.31;
#16:
>0:20623.34,31769.04;21258.29,34438.43;
#17:
>0:16479.71,37248.48;12444.06,33444.98;
#18:
>0:18546.03,31297.66;18835.12,31247.4;
#19:
>0:20076.36,30241.8;21379.69,32208.71;
#20:
>0:19859.16,34289.76;20328.36,31220.68;
#21:
>0:17662.89,38567.23;16181.83,34991.46;
#22:
>0:22215.78,31343.42;24266.8,30265.81;
#23:
>0:22068.95,34365.63;21838.37,33240.8;
#24:
>0:20346.73,34219.08;20090.14,33583.42;
#25:
>0:22622.26,32035.46;23476.09,32875.47;
#26:
>0:24539.61,33271.13;24764.39,32927.43;
#27:
>0:22049.21,15522.95;23523.49,15935.26;
#28:
>0:23734.15,33453.81;24894.38,32391.34;
#29:
>0:22152.29,13110.86;22957.53,15999.05;
#30:
>0:21459.14,32983.64;19590.92,30983.4;
#31:
>0:23476.2,33974.14;23474.14,31595.42;
#32:
>0:21527.91,34560.7;20505.33,32119.32;
#33:
>0:23164.23,31329.27;22525.58,33009.84;
#34:
>0:11962.4,36682.11;17923.9,37196.69;11937.22,36357.68;15456.48,36388.42;
#35:
>0:5047.36,13316.67;4337.21,16464.32;
#36:
>0:22653.86,31340.28;18206.04,32050.71;
#37:
>0:24325.41,14469.17;22015.25,14115.24;
#38:
>0:15613.52,35937.83;13678.58,37798.96;
#39:
>0:24584.24,30826.47;22711.38,34079.97;
#40:
>0:11688.64,36398.54;11097.15,38686.73;
#41:
>0:4089.04,14454.78;6019.87,13700.65;
#42:
>0:15387.21,36805.76;17105.16,34839.66;
#43:
