#0:
>0:22379.17,33157.54;22578.31,34249.65;
#1:
>0:19915.24,30385.43;25113.67,30511.5;
#2:
>0:4030.89,19226.8;6506.0,19589.22;
#3:
>0:22888.57,13639.19;24267.45,16241.92;
#4:
>0:16040.96,37850.31;15964.41,36289.35;
#5:
>0:7157.93,35124.3;5095.51,33495.65;
#6:
>0:21407.37,33937.5;19730.14,32893.39;
#7:
>0:22912.64,31236.89;21795.36,31874.04;
#8:
>0:21823.1,31079.79;24746.0,33117.53;
#9:
>0:19425.45,32783.54;18615.56,34283.71;
#10:
>0:23416.96,31457.95;25028.31,32270.8;
#11:
>0:11428.4,24906.42;14907.21,17483.56;20357.95,13107.38;22884.52,14971.36;
#12:
>0:24521.75,31353.36;23615.16,33767.69;
#13:
>0:17574.85,14075.55;20294.1,17137.34;
#14:
>0:24295.24,34098.59;24664.01,30879.59;
#15:
>0:16019.9,38083.37;17872.54,38691.43;
#16:
>0:19368.62,30803.07;23223.49,31968.25;
#17:
>0:23422.59,34518.17;19806.73,33661.97;
#18:
>0:23211.65,32324.79;19606.03,31330.67;
#19:
>0:21952.91,12419.67;21788.1,12700.57;
#20:
>0:25048.16,12628.38;22710.52,16040.47;
#21:
>0:18252.61,32832.14;20794.86,32811.1;
#22:
>0:24985.76,30867.43;24342.47,30889.47;
#23:
>0:18208.6,33654.7;19445.38,34390.43;
#24:
>0:22934.18,30886.96;20407.54,33208.36;22145.16,33043.92;
#25:
>0:21551.02,32177.64;19280.55,34324.23;
#26:
>0:22375.29,16094.78;25103.94,15645.04;
#27:
>0:16619.94,38438.42;14647.88,34815.32;
#28:
>0:20944.22,30618.84;25116.94,38679.04;
#29:
>0:6373.18,12641.52;6773.76,14225.6;
#30:
>0:22615.24,31021.58;23105.46,33778.68;
#31:
>0:22943.42,33492.69;22211.26,30726.95;
#32:
>0:22876.28,12345.47;23469.28,14751.58;
#33:
>0:21631.3,33853.31;18441.12,31727.56;
#34:
>0:18500.08,30547.96;18368.34,32925.34;
#35:
>0:21526.21,12690.13;17963.82,18992.07;20852.28,23915.46;23356.1,29223.63;22309.48,33775.76;21045.59,36232.34;
#36:
>0:22503.22,32038.77;24596.9,33132.63;
#37:
>0:16358.09,30572.17;15728.87,26134.62;15047.79,21466.39;
#38:
>0:15851.07,13686.69;21530.39,17792.85;
#39:
>0:20283.0,32332.1;22787.64,34453.72;
#40:
>0:11850.32,31555.2;15889.14,28744.46;19055.47,26416.15;
#41:
>0:23732.09,31137.9;25088.58,30264.06;
#42:
>0:24531.28,31149.03;22066.45,31401.35;
#43:
>0:12508.95,18263.52;12917.38,16924.53;
#44:
>0:23446.49,31307.57;25059.76,30343.65;
#45:
>0:4180.82,19511.31;7738.79,19027.2;
#46:
>0:23579.97,30822.1;24711.51,33424.83;
#47:
>0:21959.61,31063.95;18247.23,32825.77;
#48:
>0:11586.94,12893.18;15378.71,16834.79;21357.04,21274.12;22681.19,28601.68;23508.92,30340.99;24341.23,37034.68;
#49:
>0:21293.24,33539.75;20743.79,30427.9;
#50:
>0:12678.52,37223.35;7822.97,36473.08;
#51:
>0:24927.08,31869.75;18307.95,34163.06;
#52:
>0:20263.88,31548.58;18207.89,30288.34;
#53:
>0:24313.32,22678.29;20435.89,27905.26;16851.9,32280.68;11836.31,34848.08;
#54:
>0:25053.19,31842.76;22733.23,32596.44;
#55:
>0:19922.57,30168.18;18571.7,31460.85;
#56:
>0:22500.14,33784.77;23403.04,32380.39;
#57:
>0:18487.4,32648.61;19156.1,31045.17;
#58:
>0:23544.72,33493.85;20399.89,32202.04;
#59:
>0:18469.54,33804.88;21307.43,34348.28;
#60:
>0:21513.44,34566.24;20004.61,32977.16;
#61:
>0:25212.32,34510.25;22487.86,31309.0;
#62:
>0:17890.29,39053.24;16504.77,37716.14;
#63:
>0:22768.62,30865.99;22598.58,33983.96;
#64:
>0:25194.46,30727.3;19265.15,34114.44;
#65:
>0:9366.95,18670.68;9711.94,22448.65;9946.45,28384.31;9459.05,30733.28;10739.48,35417.62;
#66:
>0:17266.92,30467.92;17020.56,27386.56;15365.98,25644.68;11178.77,20929.6;
#67:
>0:14679.35,20072.34;12060.43,19267.99;8510.7,12750.23;
#68:
>0:19788.76,31303.57;19696.12,32205.0;
#69:
>0:22798.78,32095.04;24866.44,33458.67;
#70:
>0:24998.9,33965.0;19566.16,31101.81;23269.17,30272.65;
#71:
>0:25071.16,32563.67;23872.45,34425.34;
#72:
>0:14175.04,15353.66;10146.42,17025.91;13274.7,23410.48;16510.29,29714.12;
#73:
>0:22942.9,28371.92;21440.96,25552.74;16132.03,29841.36;14315.2,32799.62;
#74:
>0:16245.75,37446.34;16179.1,38834.61;
#75:
>0:24548.91,32165.32;18818.92,36703.44;15324.07,38211.86;
#76:
>0:14292.53,20216.26;11764.33,18463.11;
#77:
>0:24448.76,31039.3;20025.86,33201.79;24749.24,31767.57;
#78:
>0:15003.22,38512.56;16283.31,35738.32;
#79:
>0:18341.26,30792.55;21250.68,32892.06;
#80:
>0:19600.26,34721.67;15174.11,33945.31;15819.83,29376.26;18618.38,24858.31;16480.21,17319.14;
#81:
>0:19685.01,32900.59;20786.08,33124.48;
#82:
>0:22043.04,31258.88;19810.76,33327.16;
#83:
>0:19708.7,33541.43;19922.54,31749.09;
#84:
>0:21550.56,32645.98;21756.43,34415.02;
#85:
>0:25213.94,31852.58;24832.61,32583.06;
#86:
>0:22437.53,15838.12;23627.4,17115.9;22304.79,25423.52;19400.88,29601.78;
#87:
>0:18561.99,34064.23;22625.36,27171.39;22319.18,22783.54;19225.49,17016.99;
#88:
>0:21342.56,34064.19;19381.03,32959.88;
#89:
>0:19318.07,34608.02;20399.55,31284.63;
#90:
>0:21818.95,33104.76;21175.28,31501.97;24336.17,32167.15;
#91:
>0:18827.87,31193.53;21491.15,31208.17;
#92:
>0:17604.21,36317.29;15852.19,35494.97;
#93:
>0:23273.82,12881.6;22390.47,12360.03;
#94:
>0:24387.35,31079.31;22802.23,30675.01;
#95:
>0:12643.97,38453.39;15691.68,34534.89;21254.84,32030.6;24275.73,31484.0;
#96:
>0:5763.76,14309.07;4695.28,14196.83;
#97:
>0:23138.65,31522.35;22007.37,31049.12;
#98:
>0:4333.01,31322.63;10942.01,38436.43;13257.19,35501.91;15017.37,35154.42;
#99:
>0:4927.23,13789.39;5442.53,13032.64;
#100:
>0:20105.81,31022.34;18559.08,32420.05;
#101:
>0:20048.39,34638.16;21617.5,31444.78;
#102:
>0:20794.37,31961.64;18592.88,32230.28;
#103:
>0:20607.61,33981.58;21375.6,33318.98;
#104:
>0:19531.92,34568.34;23868.06,34210.0;
#105:
>0:22628.26,34536.47;23400.58,33738.95;
#106:
>0:11834.93,30026.94;17732.56,34503.15;19843.0,32598.25;23886.81,33719.13;
#107:
>0:11910.3,38580.96;14670.13,33187.57;
#108:
>0:25186.63,34335.49;23805.69,31854.63;
#109:
