#0:
>0:23328.56,34609.14;22585.12,31671.2;
#1:
>0:22047.98,32694.97;25234.15,33851.91;
#2:
>0:22150.6,34659.74;24277.92,32769.79;
#3:
>0:18612.02,30631.75;22498.86,32379.23;18366.42,34258.44;
#4:
>0:17799.17,38917.76;17819.21,35493.06;
#5:
>0:19014.1,33565.12;20093.81,33021.92;
#6:
>0:18727.29,32480.93;19595.96,31775.97;
#7:
>0:21439.02,30585.28;20361.21,31802.8;
#8:
>0:20275.68,32804.52;19128.25,33056.48;
#9:
>0:23432.16,32933.23;23350.33,32316.81;
#10:
>0:20349.5,31474.22;22720.75,30330.82;
#11:
>0:18164.23,34293.04;18584.26,32023.65;
#12:
>0:22106.18,31275.11;25182.14,34341.85;
#13:
>0:24479.31,30840.08;18344.0,33675.21;
#14:
>0:6752.77,16507.55;7195.82,16242.49;
#15:
>0:23115.15,33891.85;23273.99,33331.09;
#16:
>0:19748.62,30404.96;20685.14,31810.76;
#17:
>0:22952.7,33383.19;24875.08,32556.31;
#18:
>0:17872.65,38130.7;16158.01,36014.58;
#19:
>0:14276.35,21929.11;17418.17,17855.49;19868.1,14286.22;
#20:
>0:21927.18,33202.96;23420.82,34309.45;
#21:
>0:18464.43,32631.98;24157.49,30870.26;
#22:
>0:22954.84,34255.26;24993.44,31668.45;
#23:
>0:5248.65,16704.43;4467.26,16397.38;
#24:
>0:23819.11,15546.49;23211.83,16157.17;
#25:
>0:24004.75,33645.42;23961.89,31917.93;
#26:
>0:16459.2,36228.96;14027.75,35704.12;16279.47,39100.37;
#27:
>0:12462.11,15464.72;17385.94,19943.36;21440.55,24214.3;16373.08,29337.76;
#28:
>0:22075.94,15688.53;24238.57,14228.89;
#29:
>0:23119.85,30707.29;20119.0,33777.08;
#30:
>0:22057.01,14702.16;20876.92,21161.61;16406.61,18728.27;14361.37,20560.58;
#31:
>0:20180.72,31622.64;20657.49,30937.44;
#32:
>0:20456.09,30294.62;20457.06,34639.31;
#33:
>0:21033.88,32610.52;18848.91,34259.86;
#34:
>0:21127.93,30465.2;20940.24,31533.75;
#35:
>0:23209.33,33312.78;22201.98,30633.93;
#36:
>0:22897.69,30613.34;24260.28,34700.38;
#37:
>0:25025.8,15264.48;24015.3,14862.07;
#38:
>0:22789.2,31752.93;21760.74,31050.22;
#39:
>0:20136.43,32371.33;19098.9,31609.18;
#40:
>0:18699.31,30971.71;21156.8,31207.21;
#41:
>0:19112.6,27691.96;14917.26,22875.14;11314.29,20708.9;9373.03,16854.07;
#42:
>0:7645.92,15976.8;7648.18,16669.4;
#43:
>0:20149.11,31961.46;19324.63,33780.12;
#44:
>0:19740.53,33614.95;18686.09,31749.28;
#45:
>0:19618.08,31332.94;21267.93,31448.74;
#46:
>0:20232.09,34022.85;20932.59,30282.3;
#47:
>0:19661.99,32960.75;18654.66,34509.42;
#48:
>0:23272.54,34305.61;20098.42,32311.99;
#49:
>0:20540.39,30934.37;20637.73,30783.37;
#50:
>0:16889.32,36993.2;11699.96,37802.53;16660.46,35799.36;12290.18,38654.39;
#51:
>0:23893.07,32801.04;21054.11,33818.47;
#52:
>0:19617.25,33894.37;21101.14,34020.86;
#53:
>0:24090.3,26282.32;20614.67,23403.47;17481.42,29946.85;13167.56,26194.74;10422.91,25894.49;4334.51,24730.68;
#54:
>0:23979.52,32901.21;25191.32,32789.63;
#55:
>0:4954.94,16628.73;9829.85,18934.33;13986.05,22421.11;13250.58,26097.08;14457.5,31040.79;
#56:
>0:18580.84,34387.37;22669.43,32656.09;
#57:
>0:23054.57,14148.01;23737.57,12866.52;
#58:
>0:23573.7,33194.93;23557.64,33377.93;
#59:
>0:18484.15,32131.16;20440.32,31965.46;
#60:
>0:18924.48,30757.66;20330.7,30224.93;
#61:
>0:18887.86,33589.0;20298.5,30784.08;
#62:
>0:21329.48,33607.77;18251.29,30310.79;
#63:
>0:19398.57,30539.06;20339.87,32445.19;
#64:
>0:15777.01,35666.83;17482.16,38509.84;
#65:
>0:11613.49,35596.52;11319.54,38336.24;
#66:
>0:4106.95,16475.39;6957.66,14447.59;
#67:
>0:16145.98,33275.32;19372.97,34218.63;22446.85,36358.62;
#68:
>0:19512.25,34582.68;21495.05,32603.64;
#69:
>0:18358.82,30457.7;19880.42,33286.93;
#70:
>0:23124.81,32041.94;22275.34,33098.42;
#71:
>0:3988.71,38568.02;5180.75,37892.23;
#72:
>0:22250.67,30404.72;22639.2,32127.49;
#73:
>0:5559.38,37019.27;8641.86,30338.0;14204.78,26934.67;14626.25,30243.57;21627.66,31099.42;22945.27,29036.71;
#74:
>0:23224.84,32543.26;24722.92,31531.8;
#75:
>0:22564.79,31296.99;21159.21,31493.88;
#76:
>0:16570.93,38813.46;18146.83,35715.08;
#77:
>0:20927.67,32814.89;24261.67,34398.28;
#78:
>0:19676.01,30318.43;19229.86,33453.88;
#79:
>0:8480.89,18057.21;3995.39,23675.32;8645.63,29504.09;5060.61,31066.31;
#80:
>0:11793.76,17293.87;7626.27,16694.84;
#81:
>0:20920.94,32985.81;20128.94,31259.98;
#82:
>0:22985.81,19540.45;19659.12,22996.48;15642.27,25885.57;15184.53,34187.07;15573.41,35865.23;
#83:
>0:13449.36,38590.89;11763.59,36550.61;
#84:
>0:21847.72,31351.21;19058.23,34194.87;
#85:
>0:24310.35,30604.03;21546.57,34223.67;
#86:
>0:21247.3,34324.84;20425.42,33366.12;
#87:
>0:23861.51,30594.52;22712.13,31293.1;
#88:
>0:19577.03,30576.58;18576.14,33302.47;
#89:
>0:16739.28,37201.39;16874.39,36782.95;
#90:
>0:23161.13,34296.6;24696.03,30268.3;
#91:
>0:18102.84,35717.34;17780.43,36855.02;
#92:
>0:16991.16,37249.95;13431.39,37031.63;15955.76,36615.76;
#93:
>0:24529.36,33884.4;23462.9,34032.31;
#94:
>0:24055.66,30508.87;24243.52,31607.81;
#95:
>0:16137.81,35003.52;16972.73,37961.58;
#96:
>0:25213.65,23448.06;21442.17,29471.64;17625.15,34554.02;13609.75,32840.2;8857.55,33163.9;
#97:
>0:23391.81,31751.57;22695.12,33983.33;
#98:
>0:23442.45,34517.33;21412.55,34500.41;22079.82,34286.03;
#99:
>0:24458.03,26267.17;20960.78,24864.79;17309.65,18686.55;11473.92,12729.83;7551.1,18740.93;
#100:
>0:20522.5,31439.75;18772.72,30861.64;
#101:
>0:18653.97,32993.53;21518.02,34116.78;
#102:
>0:21146.72,30900.39;18256.55,34284.06;
#103:
>0:8497.48,15557.05;12787.79,17433.23;11968.87,21687.56;12026.49,29841.8;12569.66,33256.53;11105.34,38744.92;
#104:
>0:20490.21,32011.18;19739.45,31156.06;
#105:
>0:22968.64,34391.36;24803.89,33019.55;
#106:
>0:19494.65,30867.93;24394.02,31271.23;
#107:
>0:23648.49,30437.11;24386.66,30658.22;
#108:
>0:19217.6,30440.45;19250.77,33120.75;
#109:
>0:24795.34,32524.86;24820.0,30848.73;
#110:
>0:22810.84,33462.95;23327.09,34539.82;
#111:
>0:4551.38,13497.41;5508.32,13163.59;
#112:
>0:19382.53,30829.92;20843.71,33821.95;
#113:
>0:20355.61,32214.94;21516.16,33210.21;
#114:
>0:25081.57,22018.44;19769.83,27727.98;19822.58,33194.81;18187.96,38081.58;
#115:
>0:20612.89,33726.4;20248.78,33129.3;
#116:
>0:19152.57,30360.26;21628.76,34570.21;
#117:
>0:21664.18,33005.13;21534.56,31876.1;
#118:
>0:23782.29,33460.95;21421.38,30688.88;25048.5,33486.81;
#119:
>0:21101.48,32309.69;23419.13,33212.9;
#120:
>0:18754.26,31516.26;18955.65,34434.66;
#121:
>0:19264.88,34549.45;18238.51,31125.5;
#122:
>0:24581.19,33244.92;18323.23,33058.64;21803.96,32161.81;
#123:
>0:24643.34,31432.38;22146.49,32686.73;
#124:
>0:21795.38,15078.75;24758.27,15592.76;
#125:
>0:22134.36,30435.29;24147.85,34053.34;
#126:
>0:8622.72,12833.43;9408.25,16587.44;
#127:
>0:21071.53,33105.72;18924.25,34291.35;
#128:
>0:22560.92,32783.66;18436.66,34244.66;23178.0,33538.49;
#129:
>0:15958.14,28277.87;16561.1,24670.95;12530.03,20302.9;9102.06,12737.97;
#130:
>0:20406.8,30923.97;21976.65,33667.52;
#131:
>0:21749.17,33168.04;22500.33,34513.53;
#132:
>0:23568.04,32141.2;23224.5,33798.14;
#133:
>0:24487.89,34144.37;19717.72,33373.07;
#134:
>0:20173.44,32538.64;20904.24,31367.05;
#135:
>0:13446.83,36252.0;11740.22,35930.26;
#136:
>0:22547.09,30429.12;19166.1,30317.72;22376.26,34073.59;
#137:
>0:23164.83,31934.16;23572.05,33200.15;
#138:
>0:23036.9,30803.88;24727.34,33625.59;
#139:
>0:5466.44,12869.26;5561.84,16485.86;
#140:
>0:18385.18,31390.75;20460.47,31348.8;
#141:
>0:21575.22,30844.39;19199.19,32483.65;
#142:
>0:24681.84,33530.22;19036.15,27771.76;20048.64,22505.17;20471.84,19737.16;
#143:
>0:13443.08,38235.0;12121.63,36185.58;
#144:
>0:24001.68,31337.81;24147.16,31214.61;
#145:
>0:20823.36,31701.28;19689.57,31744.55;
#146:
>0:19535.44,31162.66;19649.3,32166.32;
#147:
>0:18459.69,33143.04;18373.88,31642.82;
#148:
>0:22202.33,31789.33;23140.37,31069.82;
#149:
>0:24913.18,32460.49;21547.42,33929.01;21798.8,34590.59;
#150:
>0:12717.07,38340.84;12384.66,38588.98;
#151:
>0:21911.05,16287.36;20857.96,21013.73;17151.7,21052.89;
#152:
>0:19516.14,31521.23;25140.23,30764.6;
#153:
>0:21456.04,31589.36;23759.26,30559.89;
#154:
>0:14182.82,38934.63;13014.96,38674.76;
#155:
>0:22404.84,34432.34;22143.16,33726.32;
#156:
>0:20510.18,31157.2;18809.21,34178.62;
#157:
>0:22545.94,33175.24;19616.51,31250.18;
#158:
>0:12868.51,37435.96;11313.67,38861.84;
#159:
>0:22469.54,33436.0;20240.13,33123.4;
#160:
>0:12418.25,21846.55;17624.54,23734.84;
#161:
>0:19977.34,30505.9;23014.54,30989.33;
#162:
>0:22769.01,32126.54;19302.57,32570.96;
#163:
>0:19439.87,31619.45;24611.8,32395.33;
#164:
>0:24803.73,31558.8;24314.38,34686.69;
#165:
>0:19897.47,33623.12;19270.67,33881.12;
#166:
>0:19151.7,32369.01;20495.81,30939.93;
#167:
>0:17812.8,23205.38;18115.06,21017.78;
#168:
>0:17485.03,38918.04;17137.46,36244.01;
#169:
>0:22729.71,34303.81;23464.57,31520.88;
#170:
>0:23182.16,32096.42;20376.41,32195.59;24081.87,32060.56;
#171:
>0:17021.65,37850.35;17326.11,36012.11;
#172:
>0:24655.23,33582.68;23945.75,32900.55;
#173:
>0:21828.08,33001.82;22902.36,31574.41;
#174:
>0:22100.33,31580.26;23115.82,32031.17;
#175:
>0:18746.04,32515.85;20356.16,34466.86;
#176:
>0:20419.32,32805.38;20861.16,31647.95;
#177:
>0:19452.9,31684.8;19451.89,31697.5;
#178:
>0:21144.25,32099.61;20895.7,32268.12;
#179:
>0:19502.56,32531.29;20910.15,31706.93;
#180:
>0:15599.75,38139.67;15243.59,36523.34;
#181:
>0:22367.38,32008.99;21071.08,30496.1;
#182:
