#0:
>0:22444.58,36334.51;22413.86,35769.78;
#1:
>0:22691.39,36731.95;23726.47,34914.56;
#2:
>0:23936.97,33858.85;21111.74,32195.39;25179.27,36570.73;
#3:
>0:22887.45,34018.53;22638.73,33141.7;
#4:
>0:23478.89,32776.61;20628.91,32505.84;
#5:
>0:24206.25,33803.82;23220.48,32156.27;
#6:
>0:21034.53,33431.27;22310.35,32242.14;
#7:
>0:13835.43,35644.92;13552.0,37330.61;
#8:
>0:23003.97,35258.13;23758.24,33556.68;
#9:
>0:23313.07,33353.98;20959.78,35607.67;
#10:
>0:22194.04,33180.89;24385.05,33717.45;
#11:
>0:21994.52,32060.95;23770.43,33512.66;
#12:
>0:18204.07,12298.41;16894.48,20413.99;14604.95,22750.46;7922.29,24226.82;
#13:
>0:4134.85,29945.28;4331.13,27792.85;
#14:
>0:20620.15,36289.97;23708.8,32550.93;
#15:
>0:20948.54,32947.38;23624.84,34170.27;
#16:
>0:10297.71,24030.11;13364.28,23690.41;18046.95,17192.05;19014.27,21575.77;22592.23,23599.71;
#17:
>0:25240.98,16108.37;24227.52,13327.55;
#18:
>0:11929.73,38915.54;12159.5,35711.73;
#19:
>0:23043.17,13994.42;19339.81,18699.56;16123.12,23335.04;14577.18,19419.27;10409.51,18551.54;
#20:
>0:23546.63,33945.33;23949.04,33627.31;23486.56,34347.7;
#21:
>0:24618.02,14672.78;22961.93,13041.13;
#22:
>0:23760.39,33643.54;24994.56,34911.47;
#23:
>0:23184.2,36546.08;23478.89,34243.99;22142.36,35636.54;
#24:
>0:5979.9,16578.77;5013.47,13057.16;
#25:
>0:25191.0,36546.93;23838.88,32881.72;
#26:
>0:23994.86,33499.15;22153.87,36339.96;
#27:
>0:20746.78,33235.59;24034.89,36177.72;
#28:
>0:8890.29,19497.28;6924.02,19667.06;
#29:
>0:17681.52,35457.11;17684.43,35158.43;
#30:
>0:23208.47,33527.83;21284.29,34680.29;
#31:
>0:24317.55,33766.22;24501.25,32742.15;
#32:
>0:21753.92,31940.43;21648.68,34729.05;
#33:
>0:23249.99,34815.5;22578.1,35298.12;
#34:
>0:23093.84,35931.14;22294.39,34635.94;
#35:
>0:15623.55,35227.78;12567.59,31715.05;11547.76,34902.61;
#36:
>0:20909.14,32762.57;20639.98,33153.08;
#37:
>0:24136.71,35255.97;20896.12,33065.12;23457.08,34401.5;
#38:
>0:22746.63,36057.22;22830.07,33827.37;
#39:
>0:25220.51,14593.46;23620.61,16402.9;
#40:
>0:23294.68,33076.63;22656.82,34215.06;
#41:
>0:14090.12,36151.32;15003.99,36030.17;
#42:
>0:16252.83,35575.79;13179.31,39067.38;
#43:
>0:21150.48,32801.92;22821.47,33334.32;
#44:
>0:23784.01,15435.87;23626.43,16620.55;
#45:
>0:23476.91,32331.83;23258.54,34922.11;
#46:
>0:22237.58,33951.01;22757.88,32868.55;
#47:
